Name,Created at,Lineitem name,Lineitem price,Lineitem quantity,Vendor
#1001,2026-04-03 14:25:00 +0100,Carhartt hooded vest,36.02,1,Carhartt
#1002,2026-04-01 14:53:00 +0100,Umbro 90s drill top,22.3,1,Umbro
#1003,2026-04-01 14:11:00 +0100,Carhartt chore coat black,56.49,1,Carhartt
#1004,2026-04-05 14:48:00 +0100,Carhartt chore coat black,50.36,1,Carhartt
#1005,2026-04-06 14:51:00 +0100,Carhartt Detroit Jacket brown,59.07,1,Carhartt
#1006,2026-04-12 14:27:00 +0100,Levi's trucker jacket,43.97,1,Levi's
#1007,2026-04-09 14:54:00 +0100,Carhartt Detroit Jacket brown,62.5,1,Carhartt
#1008,2026-04-09 14:23:00 +0100,Levi's trucker jacket,45.7,1,Levi's
#1009,2026-04-11 14:16:00 +0100,Reebok 90s hoodie grey,26.42,1,Reebok
#1010,2026-04-12 14:26:00 +0100,Fila colour block half-zip,35.34,1,Fila
#1011,2026-04-18 14:15:00 +0100,Diesel Y2K flared jeans,46.5,1,Diesel
#1012,2026-04-19 14:33:00 +0100,Champion reverse weave crewneck,39.56,1,Champion
#1013,2026-04-15 14:52:00 +0100,Adidas vintage track jacket,36.09,1,Adidas
#1014,2026-04-28 14:24:00 +0100,Champion reverse weave crewneck,41.24,1,Champion
#1015,2026-04-25 14:50:00 +0100,Carhartt hooded vest,40.49,1,Carhartt
#1016,2026-04-24 14:23:00 +0100,Fila colour block half-zip,28.76,1,Fila
#1017,2026-05-03 14:51:00 +0100,Kappa popper track pants,29.7,1,Kappa
#1018,2026-04-30 14:44:00 +0100,Carhartt chore coat black,56.8,1,Carhartt
#1019,2026-05-01 14:27:00 +0100,Umbro 90s drill top,22.48,1,Umbro
#1020,2026-05-04 14:59:00 +0100,Umbro 90s drill top,26.38,1,Umbro
#1021,2026-04-29 14:30:00 +0100,Carhartt double knee pants,41.34,1,Carhartt
#1022,2026-05-09 14:55:00 +0100,Kappa popper track pants,24.36,1,Kappa
#1023,2026-05-08 14:35:00 +0100,Reebok 90s hoodie grey,27.41,1,Reebok
#1024,2026-05-06 14:25:00 +0100,Diesel Y2K flared jeans,41.07,1,Diesel
#1025,2026-05-08 14:47:00 +0100,Kappa popper track pants,30.07,1,Kappa
#1026,2026-05-13 14:42:00 +0100,Fila colour block half-zip,29.31,1,Fila
#1027,2026-05-12 14:17:00 +0100,Dickies 874 work pants,26.32,1,Dickies
#1028,2026-05-18 14:53:00 +0100,Nike 90s embroidered sweatshirt,39.45,1,Nike
#1029,2026-05-15 14:34:00 +0100,Levi's trucker jacket,49.39,1,Levi's
#1030,2026-05-23 14:10:00 +0100,Diesel Y2K flared jeans,46.4,1,Diesel
#1031,2026-05-23 14:58:00 +0100,Carhartt hooded vest,44.29,1,Carhartt
#1032,2026-05-21 14:17:00 +0100,Kappa popper track pants,30.26,1,Kappa
#1033,2026-05-22 14:10:00 +0100,Champion reverse weave crewneck,35.3,1,Champion
#1034,2026-05-25 14:21:00 +0100,Kappa popper track pants,31.96,1,Kappa
#1035,2026-05-28 14:50:00 +0100,Carhartt hooded vest,46.67,1,Carhartt
#1036,2026-06-01 14:20:00 +0100,Adidas vintage track jacket,30.46,1,Adidas
#1037,2026-05-29 14:11:00 +0100,Carhartt Detroit Jacket brown,59.72,1,Carhartt
#1038,2026-06-01 14:29:00 +0100,Carhartt hooded vest,47.41,1,Carhartt
#1039,2026-05-30 14:15:00 +0100,Umbro 90s drill top,21.68,1,Umbro
#1040,2026-06-08 14:44:00 +0100,Dickies 874 work pants,32.84,1,Dickies
#1041,2026-06-05 14:45:00 +0100,Nike 90s embroidered sweatshirt,33.76,1,Nike
#1042,2026-06-08 14:48:00 +0100,Nike Y2K nylon windbreaker,37.18,1,Nike
#1043,2026-06-15 14:56:00 +0100,Adidas vintage track jacket,38.37,1,Adidas
#1044,2026-06-12 14:52:00 +0100,Adidas vintage track jacket,36.17,1,Adidas
#1045,2026-06-13 14:38:00 +0100,Fila colour block half-zip,31.41,1,Fila
#1046,2026-06-09 14:31:00 +0100,Carhartt hooded vest,38.82,1,Carhartt
#1047,2026-06-16 14:14:00 +0100,Umbro 90s drill top,25.66,1,Umbro
#1048,2026-06-16 14:31:00 +0100,Carhartt double knee pants,41.34,1,Carhartt
#1049,2026-06-18 14:52:00 +0100,Carhartt chore coat black,55.23,1,Carhartt
